feature,chrome,firefox,safari
aspect-ratio,0.987267985887406,0.9828092243186584,0.9746893695352048
css-flexbox,0.9709950519769395,0.9666190022243406,0.9455436841518825
css-grid,0.956156171776644,0.9020482497249873,0.9408783152120344
css-transforms,0.9691390728476822,0.9536054269910955,0.945732747116822
position-sticky,1,0.8928571428571429,1
