feature,chrome,firefox,safari
aspect-ratio,0.9488636363636364,0.9659090909090909,0.3068181818181818
css-flexbox,0.9110047846889953,0.9760765550239234,0.8488038277511962
css-grid,0.8117647058823529,0.8833333333333333,0.7803921568627451
css-transforms,0.6367869615832363,0.6228172293364377,0.5646100116414435
position-sticky,0.9787234042553191,0.7872340425531915,0.723404255319149
