date,chrome-version,chrome-aspect-ratio,chrome-css-flexbox,chrome-css-grid,chrome-css-transforms,chrome-position-sticky,firefox-version,firefox-aspect-ratio,firefox-css-flexbox,firefox-css-grid,firefox-css-transforms,firefox-position-sticky,safari-version,safari-aspect-ratio,safari-css-flexbox,safari-css-grid,safari-css-transforms,safari-position-sticky
2020-12-15,89.0.4350.4 dev,0.8742138364779874,0.8564198118194312,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.8930817610062893,0.871197704927486,0.8740971182940409,0.7172350236669264,0.8410852713178296,117 preview,0.2578616352201258,0.8057403618465763,0.8902200706507287,0.6366919966479947,0.7596899224806203
2020-12-16,89.0.4350.4 dev,0.8742138364779874,0.8564198118194312,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.8930817610062893,0.871197704927486,0.8740971182940409,0.7173672987992015,0.8410852713178296,117 preview,0.2578616352201258,0.8057403618465763,0.8902200706507287,0.6353692453252434,0.7596899224806203
2020-12-17,89.0.4350.4 dev,0.8742138364779874,0.8564198118194312,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.871197704927486,0.8740971182940409,0.7173672987992015,0.8410852713178296,117 preview,0.25157232704402516,0.8057403618465763,0.8891114232006179,0.6353692453252434,0.7596899224806203
2020-12-18,89.0.4356.6 dev,0.9056603773584906,0.8564198118194312,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.871197704927486,0.8740971182940409,0.7173672987992015,0.8410852713178296,117 preview,0.25157232704402516,0.8057403618465763,0.8891114232006179,0.6366919966479947,0.7596899224806203
2020-12-19,89.0.4356.6 dev,0.9056603773584906,0.8564198118194312,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.871197704927486,0.8740971182940409,0.7173672987992015,0.8410852713178296,117 preview,0.25157232704402516,0.8057403618465763,0.8902200706507287,0.6353692453252434,0.7596899224806203
2020-12-21,89.0.4356.6 dev,0.9056603773584906,0.8574981499101384,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.8731006544993224,0.8740971182940409,0.7173672987992015,0.8410852713178296,117 preview,0.25157232704402516,0.8068186999372836,0.8891114232006179,0.6366919966479947,0.7596899224806203
2020-12-22,89.0.4356.6 dev,0.9056603773584906,0.8574981499101384,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.8731006544993224,0.8740971182940409,0.7173672987992015,0.8410852713178296,117 preview,0.25157232704402516,0.8068186999372836,0.8891114232006179,0.6366919966479947,0.7596899224806203
2020-12-23,89.0.4356.6 dev,0.9056603773584906,0.8584496246960566,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.8740521292852406,0.8740971182940409,0.7173672987992015,0.8410852713178296,117 preview,0.2578616352201258,0.8077701747232018,0.8891114232006179,0.6353692453252434,0.7596899224806203
2020-12-24,89.0.4356.6 dev,0.9056603773584906,0.8584496246960566,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.8740521292852406,0.8740971182940409,0.7173672987992015,0.8410852713178296,117 preview,0.25157232704402516,0.8077701747232018,0.8891114232006179,0.6366919966479947,0.7596899224806203
2020-12-27,89.0.4356.6 dev,0.9056603773584906,0.8584496246960566,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.8740521292852406,0.8740971182940409,0.7173672987992015,0.8410852713178296,117 preview,0.2578616352201258,0.8077701747232018,0.8902200706507287,0.6366919966479947,0.7596899224806203
2020-12-28,89.0.4356.6 dev,0.9056603773584906,0.8584496246960566,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.8740521292852406,0.8740971182940409,0.7173672987992015,0.8410852713178296,117 preview,0.25157232704402516,0.8077701747232018,0.8891114232006179,0.6353692453252434,0.7596899224806203
2020-12-31,89.0.4356.6 dev,0.8930817610062893,0.8584496246960566,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.9119496855345912,0.8740521292852406,0.8740971182940409,0.7173672987992015,0.8410852713178296,117 preview,0.25157232704402516,0.8077701747232018,0.8891114232006179,0.6353692453252434,0.7596899224806203
2021-01-02,89.0.4356.6 dev,0.8930817610062893,0.8584496246960566,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.9119496855345912,0.8740521292852406,0.8740971182940409,0.7173672987992015,0.8410852713178296,117 preview,0.25157232704402516,0.8077701747232018,0.8891114232006179,0.6353692453252434,0.7596899224806203
2021-01-04,89.0.4356.6 dev,0.8930817610062893,0.8584496246960566,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.9119496855345912,0.8740521292852406,0.8740971182940409,0.7173672987992015,0.8410852713178296,117 preview,0.25157232704402516,0.8077701747232018,0.8891114232006179,0.6353692453252434,0.7596899224806203
2021-01-05,89.0.4356.6 dev,0.8930817610062893,0.8584496246960566,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.9119496855345912,0.8740521292852406,0.8740971182940409,0.7173672987992015,0.8643410852713179,117 preview,0.2578616352201258,0.8077701747232018,0.8891114232006179,0.6353692453252434,0.7596899224806203
2021-01-06,89.0.4356.6 dev,0.8930817610062893,0.8584496246960566,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.9119496855345912,0.8740521292852406,0.8740971182940409,0.7173672987992015,0.8643410852713179,117 preview,0.2578616352201258,0.8077701747232018,0.8891114232006179,0.6366919966479947,0.7596899224806203
