sha,date,chrome-version,chrome,firefox-version,firefox,webkitgtk-version,webkitgtk
07ae085a9b142aedd6a44ffc48be496a8d3a6fa9,2021-05-16,90.0.4430.212,0.9129864294707302,88.0.1,0.9814015511922268,2.32.1 (r277260),0.8829051368004245
07ae085a9b142aedd6a44ffc48be496a8d3a6fa9,2021-05-17,90.0.4430.212,0.9129864294707302,88.0.1,0.9814015511922268,2.32.1 (r277260),0.8829051368004245
637847dd0b481f5bb46e3a80b78f02a6f51cb6d6,2021-06-06,91.0.4472.77,0.9215497025439937,89.0,0.9846019663812242,2.32.1 (r277260),0.8838566115863427
637847dd0b481f5bb46e3a80b78f02a6f51cb6d6,2021-06-07,91.0.4472.77,0.9215497025439937,89.0,0.9846019663812242,2.32.1 (r277260),0.8838566115863427
4a325108cda1a048b307fe9683d553637d1d3295,2021-06-13,91.0.4472.101,0.9215497025439937,89.0,0.9846019663812242,2.32.1 (r277260),0.8838566115863427
4a325108cda1a048b307fe9683d553637d1d3295,2021-06-14,91.0.4472.101,0.9215497025439937,89.0,0.9846019663812242,2.32.1 (r277260),0.8838566115863427
eff766e5c8c39be7b9bff064bce3a18eb2953ac5,2021-06-20,91.0.4472.114,0.93566324520178,89.0.1,0.9846019663812242,2.32.1 (r277260),0.897970154244129
9e11b662c7204cf561801314bec46ec36220ebc6,2021-06-27,91.0.4472.114,0.9355839556362867,89.0.2,0.9835712020298129,2.32.1 (r277260),0.8978908646786358
9e11b662c7204cf561801314bec46ec36220ebc6,2021-06-28,91.0.4472.114,0.9355839556362867,89.0.2,0.9835712020298129,2.32.1 (r277260),0.8978908646786358
07a56dce8775820d3a42d4ac94beb39428f6a585,2021-07-04,91.0.4472.114,0.9355839556362867,89.0.2,0.9835712020298129,2.32.1 (r277260),0.8978908646786358
eafef7e9e90735e4cc2e55d704e3cf6c3d0f8a2c,2021-07-18,91.0.4472.164,0.9432637164083405,90.0,0.9835712020298129,2.32.2 (r279777),0.9041094320294581
eafef7e9e90735e4cc2e55d704e3cf6c3d0f8a2c,2021-07-19,91.0.4472.164,0.9432637164083405,90.0,0.9835712020298129,2.32.2 (r279777),0.9041094320294581
e1ea3e0096713632e94cf2141bd72ab9db4a20b7,2021-07-25,92.0.4515.107,0.9461181407660951,90.0.2,0.9835712020298129,2.32.3 (r280241),0.9041094320294581
e1ea3e0096713632e94cf2141bd72ab9db4a20b7,2021-07-26,92.0.4515.107,0.9461181407660951,90.0.2,0.9835712020298129,2.32.3 (r280241),0.9041094320294581
9d70e4072a27327600e2ef9dacbc122a88d9336d,2021-08-01,92.0.4515.107,0.9461181407660951,90.0.2,0.9835712020298129,2.32.3 (r280241),0.9041094320294581
9d70e4072a27327600e2ef9dacbc122a88d9336d,2021-08-02,92.0.4515.107,0.9461181407660951,90.0.2,0.9835712020298129,2.32.3 (r280241),0.9041094320294581
fb2af6bc435f7cc810cfea0a4597e20b35808021,2021-08-08,92.0.4515.131,0.9461181407660951,90.0.2,0.9835712020298129,2.32.3 (r280241),0.9041094320294581
0bc996384524028f8608c311d35ee7ebdf29afca,2021-08-15,92.0.4515.131,0.9450477316319371,91.0,0.9842187334813404,2.32.3 (r280241),0.9030390228953001
12d47d0496819f751a77a1f10df033520eabdb3e,2021-08-22,92.0.4515.159,0.9450477316319371,91.0.1,0.9842187334813404,2.32.3 (r280241),0.9030390228953001
be2c5bd43833b03f515ebc0283512926195eac50,2021-08-29,92.0.4515.159,0.9450477316319371,91.0.2,0.9842187334813404,2.32.3 (r280241),0.9030390228953001
