feature,chrome,firefox,webkitgtk
aspect-ratio,0.987267985887406,0.9702306079664571,0.9650135108027422
css-flexbox,0.9784480375042816,0.990451223387353,0.9541232837705669
css-grid,0.9797162043989138,0.9127479719259711,0.9625337852091674
css-transforms,0.9471144749290444,0.9587709899050028,0.9263583176657108
position-sticky,1,0.8928571428571429,0.9761904761904762
