date,chrome-version,chrome-aspect-ratio,chrome-css-flexbox,chrome-css-grid,chrome-css-transforms,chrome-position-sticky,firefox-version,firefox-aspect-ratio,firefox-css-flexbox,firefox-css-grid,firefox-css-transforms,firefox-position-sticky,webkitgtk-version,webkitgtk-aspect-ratio,webkitgtk-css-flexbox,webkitgtk-css-grid,webkitgtk-css-transforms,webkitgtk-position-sticky
2020-12-20,87.0.4280.88,0.24528301886792453,0.8400544455016384,0.9143234660079129,0.7035286020706596,0.8837209302325582,84.0,0.24528301886792453,0.8692947553556497,0.8740971182940409,0.7172350236669264,0.8410852713178296,2.30.4 (r270836),0.24528301886792453,0.7560241986189703,0.8737925521151473,0.6517061813342149,0.7596899224806203
2020-12-27,87.0.4280.88,0.24528301886792453,0.8420842583782638,0.9143234660079129,0.7035286020706596,0.8837209302325582,84.0.1,0.24528301886792453,0.8713879998846698,0.8740971182940409,0.7172350236669264,0.8410852713178296,2.30.4 (r270836),0.24528301886792453,0.7580540114955958,0.8737925521151473,0.6517061813342149,0.7596899224806203
2020-12-28,87.0.4280.88,0.24528301886792453,0.8420842583782638,0.9143234660079129,0.7035286020706596,0.8837209302325582,84.0.1,0.24528301886792453,0.8713879998846698,0.8740971182940409,0.7172350236669264,0.8410852713178296,2.30.4 (r270836),0.24528301886792453,0.7580540114955958,0.8737925521151473,0.6517061813342149,0.7596899224806203
2021-01-03,87.0.4280.88,0.24528301886792453,0.8420842583782638,0.9143234660079129,0.7035286020706596,0.8837209302325582,84.0.1,0.24528301886792453,0.8713879998846698,0.8740971182940409,0.7172350236669264,0.8410852713178296,2.30.4 (r270836),0.24528301886792453,0.7580540114955958,0.8737925521151473,0.6530289326569663,0.7596899224806203
2021-01-10,87.0.4280.141,0.24528301886792453,0.843035733164182,0.9082259050323032,0.7035286020706596,0.8837209302325582,84.0.2,0.24528301886792453,0.8732909494565061,0.8679995573184311,0.7172350236669264,0.8643410852713179,2.30.4 (r270836),0.24528301886792453,0.759005486281514,0.8676949911395376,0.6517061813342149,0.7596899224806203
2021-01-11,87.0.4280.141,0.24528301886792453,0.843035733164182,0.9082259050323032,0.7035286020706596,0.8837209302325582,84.0.2,0.24528301886792453,0.8732909494565061,0.8679995573184311,0.7172350236669264,0.8643410852713179,2.30.4 (r270836),0.24528301886792453,0.759005486281514,0.8676949911395376,0.6517061813342149,0.7596899224806203
2021-01-24,88.0.4324.96,0.9119496855345912,0.8912755048102335,0.9170950846331901,0.706861416677984,0.8837209302325582,84.0.2,0.25157232704402516,0.944397831790791,0.9023676282718679,0.7172350236669264,0.8643410852713179,2.30.4 (r270836),0.25157232704402516,0.7869154133351136,0.8754555232903135,0.6517061813342149,0.7596899224806203
2021-01-25,88.0.4324.96,0.9119496855345912,0.8912755048102335,0.9170950846331901,0.706861416677984,0.8837209302325582,84.0.2,0.25157232704402516,0.944397831790791,0.9023676282718679,0.7172350236669264,0.8643410852713179,2.30.4 (r270836),0.25157232704402516,0.7869154133351136,0.8754555232903135,0.6517061813342149,0.7596899224806203
2021-01-31,88.0.4324.96,0.9088050314465409,0.8981736970081403,0.9204210269835227,0.706861416677984,0.8837209302325582,85.0,0.24213836477987422,0.9567670040077272,0.9056935706222006,0.7172350236669264,0.8643410852713179,2.30.4 (r270836),0.24528301886792453,0.7947650803189386,0.879890113090757,0.6517061813342149,0.7596899224806203
2021-02-01,88.0.4324.96,0.9088050314465409,0.8981736970081403,0.9204210269835227,0.706861416677984,0.8837209302325582,85.0,0.24213836477987422,0.9567670040077272,0.9056935706222006,0.7172350236669264,0.8643410852713179,2.30.4 (r270836),0.24528301886792453,0.7947650803189386,0.879890113090757,0.6517061813342149,0.7596899224806203
