feature,chrome,firefox,webkitgtk
aspect-ratio,0.9935572940635067,0.9828092243186584,0.9645062612388889
css-flexbox,0.9719873054316442,0.9853790041230573,0.9421390128002878
css-grid,0.9773031741177243,0.8986998529577512,0.9653997320313553
css-transforms,0.9732142857142857,0.9680718167416779,0.8562544395866275
position-sticky,1,0.872093023255814,0.9767441860465116
