feature,chrome,firefox,safari,interop,tests
abortsignal-any,100.0,100.0,100.0,100.0,2
accent-color,100.0,100.0,100.0,100.0,9
active-view-transition,100.0,100.0,100.0,100.0,3
alternative-style-sheets,100.0,100.0,100.0,100.0,7
animation-composition,100.0,100.0,100.0,100.0,5
aria-attribute-reflection,100.0,100.0,100.0,100.0,1
autofill,100.0,100.0,100.0,100.0,1
b,100.0,100.0,100.0,100.0,2
bdo,100.0,100.0,100.0,100.0,4
br,100.0,100.0,100.0,100.0,2
canvas-createconicgradient,100.0,100.0,100.0,100.0,9
cap,100.0,100.0,100.0,100.0,2
cascade-layers,100.0,100.0,100.0,100.0,22
check-visibility,100.0,100.0,100.0,100.0,1
clip-path-boxes,100.0,100.0,100.0,100.0,12
color-contrast,100.0,100.0,100.0,100.0,1
color-gamut,100.0,100.0,100.0,100.0,5
column-pseudo,100.0,100.0,100.0,100.0,1
constructed-stylesheets,100.0,100.0,100.0,100.0,14
contain,100.0,100.0,100.0,100.0,14
contain-intrinsic-size,100.0,100.0,100.0,100.0,59
contenteditable-plaintextonly,100.0,100.0,100.0,100.0,1
cookie-enabled,100.0,100.0,100.0,100.0,2
cors,100.0,100.0,100.0,100.0,25
counter-set,100.0,100.0,100.0,100.0,2
crisp-edges,100.0,100.0,100.0,100.0,50
cross-fade,100.0,100.0,100.0,100.0,2
css-escape,100.0,100.0,100.0,100.0,1
cubic-bezier-easing,100.0,100.0,100.0,100.0,1
dataset,100.0,100.0,100.0,100.0,8
default,100.0,100.0,100.0,100.0,1
del,100.0,100.0,100.0,100.0,1
description-list,100.0,100.0,100.0,100.0,3
details-content,100.0,100.0,100.0,100.0,6
details-name,100.0,100.0,100.0,100.0,1
device-queries,100.0,100.0,100.0,100.0,4
dir-pseudo,100.0,100.0,100.0,100.0,27
div,100.0,100.0,100.0,100.0,1
document-colors,100.0,100.0,100.0,100.0,4
early-data,100.0,100.0,100.0,100.0,4
em-unit,100.0,100.0,100.0,100.0,7
empty,100.0,100.0,100.0,100.0,2
ex,100.0,100.0,100.0,100.0,6
fetch-priority,100.0,100.0,100.0,100.0,5
file-selector-button,100.0,100.0,100.0,100.0,6
flexbox-gap,100.0,100.0,100.0,100.0,47
font-family-ui,100.0,100.0,100.0,100.0,11
font-optical-sizing,100.0,100.0,100.0,100.0,5
font-synthesis-position,100.0,100.0,100.0,100.0,1
font-synthesis-weight,100.0,100.0,100.0,100.0,6
font-variant-alternates,100.0,100.0,100.0,100.0,24
font-variant-position,100.0,100.0,100.0,100.0,6
gethtml,100.0,100.0,100.0,100.0,2
gradient-interpolation,100.0,100.0,100.0,100.0,3
grid-animation,100.0,100.0,100.0,100.0,15
hardware-concurrency,100.0,100.0,100.0,100.0,3
headings,100.0,100.0,100.0,100.0,1
hidden-until-found,100.0,100.0,100.0,100.0,15
hsts,100.0,100.0,100.0,100.0,1
http2,100.0,100.0,100.0,100.0,3
hwb,100.0,100.0,100.0,100.0,5
imagebitmaprenderingcontext,100.0,100.0,100.0,100.0,14
import,100.0,100.0,100.0,100.0,33
initial-value,100.0,100.0,100.0,100.0,2
input-button,100.0,100.0,100.0,100.0,2
input-email-tel-url,100.0,100.0,100.0,100.0,4
input-file,100.0,100.0,100.0,100.0,5
input-hidden,100.0,100.0,100.0,100.0,2
input-image,100.0,100.0,100.0,100.0,2
input-password,100.0,100.0,100.0,100.0,3
input-reset,100.0,100.0,100.0,100.0,1
input-submit,100.0,100.0,100.0,100.0,2
ins,100.0,100.0,100.0,100.0,1
isolation,100.0,100.0,100.0,100.0,5
justify-self-block,100.0,100.0,100.0,100.0,2
language,100.0,100.0,100.0,100.0,2
link-selectors,100.0,100.0,100.0,100.0,10
mask-border,100.0,100.0,100.0,100.0,1
mask-type,100.0,100.0,100.0,100.0,6
media-query-range-syntax,100.0,100.0,100.0,100.0,3
messageerror,100.0,100.0,100.0,100.0,1
meter,100.0,100.0,100.0,100.0,6
min-max-width-height,100.0,100.0,100.0,100.0,6
modal,100.0,100.0,100.0,100.0,2
named-color,100.0,100.0,100.0,100.0,3
namespace,100.0,100.0,100.0,100.0,79
non-cookie-storage-access,100.0,100.0,100.0,100.0,1
nth-child,100.0,100.0,100.0,100.0,7
nth-of-type,100.0,100.0,100.0,100.0,16
offline-audio-context,100.0,100.0,100.0,100.0,4
online,100.0,100.0,100.0,100.0,3
output,100.0,100.0,100.0,100.0,2
overflow,100.0,100.0,100.0,100.0,1
overflow-anchor,100.0,100.0,100.0,100.0,8
overflow-overlay,100.0,100.0,100.0,100.0,1
overlay,100.0,100.0,100.0,100.0,6
p,100.0,100.0,100.0,100.0,1
pdf-viewer,100.0,100.0,100.0,100.0,1
physical-properties,100.0,100.0,100.0,100.0,200
picture,100.0,100.0,100.0,100.0,1
position,100.0,100.0,100.0,100.0,4
pre,100.0,100.0,100.0,100.0,3
prefers-contrast,100.0,100.0,100.0,100.0,1
prefers-reduced-motion,100.0,100.0,100.0,100.0,1
preloading-responsive-images,100.0,100.0,100.0,100.0,2
progress,100.0,100.0,100.0,100.0,4
q-unit,100.0,100.0,100.0,100.0,2
queuemicrotask,100.0,100.0,100.0,100.0,10
rcap,100.0,100.0,100.0,100.0,1
rch,100.0,100.0,100.0,100.0,1
rect-xywh,100.0,100.0,100.0,100.0,6
request-animation-frame,100.0,100.0,100.0,100.0,10
request-animation-frame-workers,100.0,100.0,100.0,100.0,1
requestclose,100.0,100.0,100.0,100.0,6
rex,100.0,100.0,100.0,100.0,1
rgb,100.0,100.0,100.0,100.0,24
ric,100.0,100.0,100.0,100.0,1
root,100.0,100.0,100.0,100.0,1
ruby,100.0,100.0,100.0,100.0,2
safe-area-inset,100.0,100.0,100.0,100.0,1
scope-pseudo,100.0,100.0,100.0,100.0,3
screen,100.0,100.0,100.0,100.0,6
scripting,100.0,100.0,100.0,100.0,3
scroll-initial-target,100.0,100.0,100.0,100.0,3
scroll-target-group,100.0,100.0,100.0,100.0,3
scrollbar-width,100.0,100.0,100.0,100.0,25
search-input-type,100.0,100.0,100.0,100.0,1
setinterval,100.0,100.0,100.0,100.0,14
settimeout,100.0,100.0,100.0,100.0,11
shape-function,100.0,100.0,100.0,100.0,3
slot-assign,100.0,100.0,100.0,100.0,7
static-positioning,100.0,100.0,100.0,100.0,2
strong,100.0,100.0,100.0,100.0,1
style-attr,100.0,100.0,100.0,100.0,17
svg-discouraged,100.0,100.0,100.0,100.0,1
svg-filters,100.0,100.0,100.0,100.0,7
text-indent-each-line,100.0,100.0,100.0,100.0,1
text-indent-hanging,100.0,100.0,100.0,100.0,1
text-size-adjust,100.0,100.0,100.0,100.0,1
text-wrap,100.0,100.0,100.0,100.0,10
time,100.0,100.0,100.0,100.0,1
title,100.0,100.0,100.0,100.0,15
transition-behavior,100.0,100.0,100.0,100.0,3
update,100.0,100.0,100.0,100.0,1
url-canparse,100.0,100.0,100.0,100.0,2
user-agent-sniffing,100.0,100.0,100.0,100.0,4
view-transition-class,100.0,100.0,100.0,100.0,19
view-transitions-element-scoped,100.0,100.0,100.0,100.0,4
viewport-unit-variants,100.0,100.0,100.0,100.0,7
visibility,100.0,100.0,100.0,100.0,5
wasm-exnref-exceptions,100.0,100.0,100.0,100.0,1
wasm-reference-types,100.0,100.0,100.0,100.0,5
wbr,100.0,100.0,100.0,100.0,1
webauthn-public-key-easy,100.0,100.0,100.0,100.0,1
webvtt-cue-settings,100.0,100.0,100.0,100.0,6
where,100.0,100.0,100.0,100.0,5
word-break-auto-phrase,100.0,100.0,100.0,100.0,7
word-spacing,100.0,100.0,100.0,100.0,82
writing-mode-svg-values,100.0,100.0,100.0,100.0,1
wasm-bulk-memory,100.0,100.0,100.0,100.0,8
padding,100.0,100.0,100.0,100.0,346
image-set,99.9,99.9,100.0,99.9,39
line-height,100.0,99.9,100.0,99.9,86
nesting,99.9,100.0,99.9,99.9,48
round-mod-rem,100.0,100.0,99.7,99.7,5
table,100.0,99.6,100.0,99.6,29
webgl,100.0,99.6,99.6,99.6,9
contain-paint,100.0,100.0,99.4,99.4,82
hsl,100.0,99.3,100.0,99.3,47
structured-clone,100.0,100.0,99.3,99.3,4
wasm-tail-call-optimization,100.0,100.0,99.3,99.3,2
calc-constants,99.6,100.0,99.2,99.2,6
show-picker-input,100.0,100.0,99.0,99.0,4
wasm-simd,100.0,100.0,99.0,99.0,59
attr-contents,100.0,98.8,100.0,98.8,83
outlines,98.7,98.7,98.7,98.7,62
dom-geometry,99.9,98.6,99.7,98.5,30
state,98.4,100.0,98.4,98.4,8
font-shorthand,100.0,98.9,98.2,98.2,22
color-function,100.0,100.0,98.2,98.2,56
wasm-garbage-collection,98.6,100.0,99.6,98.2,17
charset,100.0,98.1,100.0,98.1,53
lang-attr,100.0,98.0,100.0,98.0,17
file,99.3,99.8,98.8,98.0,99
width-height,99.9,99.4,98.4,98.0,753
supports,99.9,98.0,99.6,98.0,119
float-clear,100.0,97.8,100.0,97.8,45
mutationobserver,99.7,100.0,98.1,97.7,13
logical-properties,98.9,97.7,98.9,97.7,92
clip,100.0,99.9,97.8,97.7,91
canvas-roundrect,100.0,100.0,97.6,97.6,169
document-caretpositionfrompoint,100.0,100.0,97.6,97.6,3
scroll-behavior,100.0,100.0,97.6,97.6,14
indexeddb,100.0,98.1,97.6,97.6,801
custom-properties,99.6,98.4,98.7,97.6,242
z-index,97.5,97.5,97.5,97.5,40
wasm-typed-fun-refs,100.0,100.0,97.5,97.5,5
relative-color,97.5,100.0,100.0,97.5,22
transforms3d,100.0,98.3,99.0,97.3,193
borders,100.0,99.6,97.6,97.2,549
contain-layout,100.0,98.6,98.6,97.2,72
counter-style,98.1,97.9,97.2,97.2,68
exp-functions,100.0,97.2,100.0,97.2,6
localstorage,96.8,99.6,99.6,96.8,50
scrollbar-gutter,100.0,96.7,100.0,96.7,30
margin,99.0,97.1,98.3,96.6,394
box-sizing,100.0,100.0,96.5,96.5,86
transforms2d,99.8,98.9,97.4,96.4,659
min-max-clamp,99.2,99.8,97.4,96.4,34
textarea,100.0,99.6,96.8,96.4,31
vertical-align,98.7,99.6,96.2,96.2,82
all,99.5,96.8,100.0,96.2,31
template,98.0,96.2,97.8,96.2,51
canvas,98.4,97.9,96.2,96.2,122
document-write,96.9,99.0,98.5,96.1,146
text-align-last,97.3,95.9,97.0,95.9,37
matchmedia,95.8,100.0,97.0,95.8,11
performance,97.3,96.1,96.9,95.7,132
appearance,95.8,100.0,99.9,95.7,24
meta,100.0,95.7,100.0,95.7,23
lang,100.0,98.3,96.7,95.4,81
execcommand,95.9,97.6,95.4,95.4,48
calc,99.9,96.6,97.6,95.1,67
backdrop,100.0,95.0,100.0,95.0,20
dedicated-workers,94.9,98.3,98.2,94.9,149
beacons,96.9,98.0,100.0,94.9,16
flexbox,99.7,98.5,95.8,94.8,1283
layout-direction-override,98.5,97.2,95.8,94.6,199
font-synthesis-style,94.4,100.0,94.4,94.4,6
starting-style,100.0,94.4,100.0,94.4,9
form,97.8,97.9,95.7,94.4,72
postmessage,95.4,98.5,98.1,94.3,119
trig-functions,100.0,94.3,97.0,94.3,6
transitions,97.2,97.3,98.7,94.3,111
individual-transforms,96.2,96.2,94.1,94.1,26
audio,100.0,94.1,100.0,94.1,17
bdi,100.0,94.1,100.0,94.1,17
display-mode,100.0,100.0,94.1,94.1,1
form-associated-custom-elements,94.1,100.0,100.0,94.1,17
nth-child-of,100.0,100.0,94.0,94.0,67
contain-inline-size,100.0,100.0,93.8,93.8,16
xhr,96.4,98.0,98.2,93.5,421
scroll-into-view,97.2,98.1,94.4,93.5,27
js-modules-workers,98.8,94.7,94.7,93.5,14
contain-size,100.0,96.5,96.8,93.4,96
referrer-policy,99.6,97.1,95.5,93.4,1378
shadow-parts,97.7,93.8,97.5,93.4,53
ch,100.0,100.0,93.3,93.3,15
media-playback-quality,100.0,93.3,100.0,93.3,1
grid,99.3,98.0,94.3,93.2,1067
font-family,93.8,96.3,96.3,93.2,32
motion-path,98.5,98.2,96.0,93.1,141
constraint-validation,100.0,96.5,96.6,93.1,57
text-encoding,93.0,93.1,93.6,93.0,1432
style,94.7,98.2,98.2,93.0,19
server-sent-events,93.9,100.0,99.0,92.9,99
event-timing,97.2,97.1,95.7,92.9,71
font-variant-east-asian,100.0,92.9,100.0,92.9,14
object-view-box,100.0,92.9,92.9,92.9,7
oklab,92.9,92.9,92.9,92.9,28
content-visibility,97.6,97.3,96.5,92.8,232
background-repeat,96.5,99.8,96.5,92.8,57
background,99.1,99.1,93.0,92.8,160
server-timing,99.0,96.1,94.0,92.7,10
line-break,97.0,96.4,94.5,92.7,166
shadow-dom,97.1,97.6,97.7,92.6,141
background-color,100.0,100.0,92.5,92.5,80
autonomous-custom-elements,98.9,96.1,96.1,92.4,84
has,96.1,99.3,95.9,92.4,82
